Age,Salary,Balance,Transactions,Credit_Score,Anomaly
56,103969,68563,237,533,0
69,73001,3695,143,673,0
46,106552,49190,171,771,0
32,53897,6258,29,532,0
60,98148,88538,36,412,0
25,53483,40504,13,796,0
38,78555,34159,160,741,0
56,47159,14986,327,567,0
36,110077,62858,187,809,1
40,65920,13666,243,685,0
28,97121,39660,86,686,0
28,99479,4561,284,412,0
41,119475,27854,66,380,0
53,49457,65505,170,412,0
57,96557,53251,45,301,0
41,107189,23662,62,519,0
20,108953,9392,441,524,0
39,82995,31535,134,684,0
19,70757,79603,284,702,0
41,39692,53256,28,429,0
61,75758,90135,108,352,0
47,102409,36222,44,715,0
55,101211,78373,340,546,0
19,95697,80575,286,738,0
38,67065,97354,446,502,0
50,62606,85651,331,483,0
29,41534,64335,128,422,0
39,70397,11965,348,700,0
61,31016,25538,473,593,0
42,119789,71592,231,579,0
66,85591,99018,190,497,0
44,119812,9110,225,810,0
59,53247,80309,385,443,0
45,54300,28266,377,500,0
33,104065,53992,283,423,0
32,112798,83948,446,486,0
64,39268,99806,121,625,0
68,116807,7910,116,763,0
61,42185,91982,461,648,0
69,93704,1206,233,702,0
20,116779,88054,259,645,0
54,69099,88897,359,810,0
68,38571,24419,198,446,1
24,68044,51636,456,447,0
38,81214,51015,411,788,0
26,91228,55268,137,637,0
56,78984,88939,318,772,0
35,70774,19141,165,450,0
21,32568,81356,225,714,0
42,92592,72910,307,597,0
